"name","file","start_line","end_line","param_count"
"main","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",853,879,2
"main","build/CMakeFiles/CMakeScratch/TryCompile-2gdETs/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-8tjLpe/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-cXNP30/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-d2Wzhk/src.c",1,11,0
"main","tests/test_basic.c",32,303,2
"main","tests/test_generate.c",42,317,2
"main","tests/test_msgpack.c",102,200,2
"main","tests/test_schema.c",134,169,2
"main","tests/test_speed.c",69,160,2
"ucl_object_emit_full","src/ucl_emitter.c",694,715,4
"ucl_object_emit_len","src/ucl_emitter.c",667,692,3
"ucl_object_emit","src/ucl_emitter.c",661,664,2
"ucl_emit_msgpack_end_array","src/ucl_emitter.c",655,658,2
"ucl_emit_msgpack_end_object","src/ucl_emitter.c",649,652,2
"ucl_emit_msgpack_start_array","src/ucl_emitter.c",642,646,4
"ucl_emit_msgpack_start_obj","src/ucl_emitter.c",635,639,4
"ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632,4
"ucl_emit_yaml_end_array","src/ucl_emitter.c",543,543,2
"ucl_emit_yaml_end_object","src/ucl_emitter.c",543,543,2
"ucl_emit_yaml_start_array","src/ucl_emitter.c",543,543,4
"ucl_emit_yaml_start_obj","src/ucl_emitter.c",543,543,4
"ucl_emit_yaml_elt","src/ucl_emitter.c",543,543,4
"ucl_emit_config_end_array","src/ucl_emitter.c",542,542,2
"ucl_emit_config_end_object","src/ucl_emitter.c",542,542,2
"ucl_emit_config_start_array","src/ucl_emitter.c",542,542,4
"ucl_emit_config_start_obj","src/ucl_emitter.c",542,542,4
"ucl_emit_config_elt","src/ucl_emitter.c",542,542,4
"ucl_emit_json_compact_end_array","src/ucl_emitter.c",541,541,2
"ucl_emit_json_compact_end_object","src/ucl_emitter.c",541,541,2
"ucl_emit_json_compact_start_array","src/ucl_emitter.c",541,541,4
"ucl_emit_json_compact_start_obj","src/ucl_emitter.c",541,541,4
"ucl_emit_json_compact_elt","src/ucl_emitter.c",541,541,4
"ucl_emit_json_end_array","src/ucl_emitter.c",540,540,2
"ucl_emit_json_end_object","src/ucl_emitter.c",540,540,2
"ucl_emit_json_start_array","src/ucl_emitter.c",540,540,4
"ucl_emit_json_start_obj","src/ucl_emitter.c",540,540,4
"ucl_emit_json_elt","src/ucl_emitter.c",540,540,4
"ucl_emitter_common_elt","src/ucl_emitter.c",380,508,5
"ucl_emitter_common_start_object","src/ucl_emitter.c",307,369,5
"ucl_emitter_common_start_array","src/ucl_emitter.c",248,298,5
"ucl_emitter_common_end_array","src/ucl_emitter.c",220,239,3
"ucl_emitter_common_end_object","src/ucl_emitter.c",191,212,3
"ucl_emitter_finish_object","src/ucl_emitter.c",163,183,4
"ucl_emitter_print_key","src/ucl_emitter.c",108,160,4
"ucl_add_tabs","src/ucl_emitter.c",94,100,3
"ucl_object_emit_streamline_finish","src/ucl_emitter_streamline.c",169,178,1
"ucl_object_emit_streamline_end_container","src/ucl_emitter_streamline.c",150,167,1
"ucl_object_emit_streamline_add_object","src/ucl_emitter_streamline.c",131,148,2
"ucl_object_emit_streamline_start_container","src/ucl_emitter_streamline.c",90,129,2
"ucl_object_emit_streamline_new","src/ucl_emitter_streamline.c",63,88,3
"ucl_maybe_long_string","src/ucl_emitter_utils.c",511,521,1
"ucl_object_emit_single_json","src/ucl_emitter_utils.c",458,507,1
"ucl_object_emit_funcs_free","src/ucl_emitter_utils.c",446,454,1
"ucl_object_emit_fd_funcs","src/ucl_emitter_utils.c",420,444,1
"ucl_object_emit_file_funcs","src/ucl_emitter_utils.c",401,417,1
"ucl_object_emit_memory_funcs","src/ucl_emitter_utils.c",378,398,1
"ucl_fd_append_double","src/ucl_emitter_utils.c",357,375,2
"ucl_fd_append_int","src/ucl_emitter_utils.c",347,354,2
"ucl_fd_append_len","src/ucl_emitter_utils.c",339,344,3
"ucl_fd_append_character","src/ucl_emitter_utils.c",307,336,3
"ucl_file_append_double","src/ucl_emitter_utils.c",284,301,2
"ucl_file_append_int","src/ucl_emitter_utils.c",274,281,2
"ucl_file_append_len","src/ucl_emitter_utils.c",264,271,3
"ucl_file_append_character","src/ucl_emitter_utils.c",252,261,3
"ucl_utstring_append_double","src/ucl_emitter_utils.c",229,246,2
"ucl_utstring_append_int","src/ucl_emitter_utils.c",220,226,2
"ucl_utstring_append_len","src/ucl_emitter_utils.c",210,217,3
"ucl_utstring_append_character","src/ucl_emitter_utils.c",192,207,3
"ucl_elt_string_write_multiline","src/ucl_emitter_utils.c",178,186,3
"ucl_elt_string_write_squoted","src/ucl_emitter_utils.c",145,176,3
"ucl_elt_string_write_json","src/ucl_emitter_utils.c",79,143,3
"ucl_emit_get_standard_context","src/ucl_emitter_utils.c",65,72,1
"_ucl_emitter_free","src/ucl_emitter_utils.c",53,57,1
"ucl_hash_sort","src/ucl_hash.c",611,634,2
"ucl_hash_reserve","src/ucl_hash.c",519,539,2
"ucl_hash_iter_has_next","src/ucl_hash.c",439,444,2
"ucl_hash_iterate2","src/ucl_hash.c",402,437,3
"ucl_hash_search","src/ucl_hash.c",448,483,3
"ucl_hash_delete","src/ucl_hash.c",485,517,2
"ucl_hash_replace","src/ucl_hash.c",349,390,3
"ucl_hash_insert","src/ucl_hash.c",303,347,4
"ucl_hash_destroy","src/ucl_hash.c",256,301,2
"ucl_hash_create","src/ucl_hash.c",232,254,1
"ucl_chunk_free","src/ucl_util.c",515,543,1
"ucl_parse_csexp","src/ucl_sexp.c",60,229,1
"ucl_parse_msgpack","src/ucl_msgpack.c",1267,1303,1
"ucl_parser_process_object_element","src/ucl_parser.c",1242,1365,2
"ucl_fetch_file","src/ucl_util.c",884,933,5
"ucl_fetch_url","src/ucl_util.c",788,874,5
"ucl_emitter_print_key_msgpack","src/ucl_msgpack.c",291,297,3
"ucl_emitter_print_null_msgpack","src/ucl_msgpack.c",283,289,1
"ucl_emitter_print_object_msgpack","src/ucl_msgpack.c",328,355,2
"ucl_emitter_print_array_msgpack","src/ucl_msgpack.c",299,326,2
"ucl_emitter_print_binary_string_msgpack","src/ucl_msgpack.c",251,281,3
"ucl_emitter_print_string_msgpack","src/ucl_msgpack.c",215,249,3
"ucl_emitter_print_bool_msgpack","src/ucl_msgpack.c",207,213,2
"ucl_emitter_print_double_msgpack","src/ucl_msgpack.c",188,205,2
"ucl_emitter_print_int_msgpack","src/ucl_msgpack.c",105,186,2
"ucl_hash_insert_object","src/ucl_internal.h",473,496,3
"ucl_hash_search_obj","src/ucl_internal.h",463,466,2
"ucl_maybe_parse_number","src/ucl_parser.c",747,1045,7
"ucl_maybe_parse_boolean","src/ucl_internal.h",402,446,3
"ucl_create_err","src/ucl_internal.h",379,392,2
"ucl_strncasestr","src/ucl_util.c",2205,2222,3
"ucl_strnstr","src/ucl_util.c",2183,2199,3
"ucl_strlcpy_tolower","src/ucl_util.c",2157,2177,3
"ucl_strlcpy_unsafe","src/ucl_util.c",2148,2154,3
"ucl_strlcpy","src/ucl_util.c",2125,2145,3
"ucl_inherit_handler","src/ucl_util.c",1928,1975,5
"ucl_load_handler","src/ucl_util.c",1768,1926,4
"ucl_priority_handler","src/ucl_util.c",1711,1758,4
"ucl_includes_handler","src/ucl_util.c",1679,1685,4
"ucl_try_include_handler","src/ucl_util.c",1695,1701,4
"ucl_include_handler","src/ucl_util.c",1663,1669,4
"ucl_unescape_squoted_string","src/ucl_util.c",431,491,2
"ucl_unescape_json_string","src/ucl_util.c",298,428,2
"__ac_Wang_hash","klib/khash.h",412,421,1
"__ac_X31_hash_string","klib/khash.h",395,400,1
"ucl_hash_cmp_icase","src/ucl_hash.c",586,596,2
"ucl_hash_cmp_case_sens","src/ucl_hash.c",599,609,2
"ucl_lc_cmp","src/ucl_hash.c",542,583,3
"kh_del_ucl_hash_caseless_node","src/ucl_hash.c",228,229,2
"ucl_hash_caseless_func","src/ucl_hash.c",120,178,1
"ucl_hash_caseless_equal","src/ucl_hash.c",181,226,2
"kh_put_ucl_hash_caseless_node","src/ucl_hash.c",228,229,3
"kh_resize_ucl_hash_caseless_node","src/ucl_hash.c",228,229,2
"kh_get_ucl_hash_caseless_node","src/ucl_hash.c",228,229,2
"kh_clear_ucl_hash_caseless_node","src/ucl_hash.c",228,229,1
"kh_destroy_ucl_hash_caseless_node","src/ucl_hash.c",228,229,1
"kh_init_ucl_hash_caseless_node","src/ucl_hash.c",228,229,0
"kh_del_ucl_hash_node","src/ucl_hash.c",116,117,2
"ucl_hash_func","src/ucl_hash.c",102,105,1
"ucl_hash_equal","src/ucl_hash.c",107,114,2
"kh_put_ucl_hash_node","src/ucl_hash.c",116,117,3
"kh_resize_ucl_hash_node","src/ucl_hash.c",116,117,2
"kh_get_ucl_hash_node","src/ucl_hash.c",116,117,2
"kh_clear_ucl_hash_node","src/ucl_hash.c",116,117,1
"kh_destroy_ucl_hash_node","src/ucl_hash.c",116,117,1
"kh_init_ucl_hash_node","src/ucl_hash.c",116,117,0
"ucl_hash_seed","src/ucl_hash.c",45,58,0
"ucl_msgpack_parse_ignore","src/ucl_msgpack.c",1537,1574,6
"ucl_msgpack_parse_null","src/ucl_msgpack.c",1520,1534,6
"ucl_msgpack_parse_bool","src/ucl_msgpack.c",1490,1517,6
"ucl_msgpack_parse_float","src/ucl_msgpack.c",1448,1487,6
"ucl_msgpack_parse_int","src/ucl_msgpack.c",1363,1445,6
"ucl_msgpack_parse_string","src/ucl_msgpack.c",1326,1360,6
"ucl_msgpack_parse_array","src/ucl_msgpack.c",1316,1323,6
"ucl_msgpack_parse_map","src/ucl_msgpack.c",1306,1313,6
"ucl_msgpack_consume","src/ucl_msgpack.c",872,1265,1
"ucl_msgpack_get_next_container","src/ucl_msgpack.c",802,841,1
"ucl_msgpack_insert_object","src/ucl_msgpack.c",761,799,4
"ucl_msgpack_is_container_finished","src/ucl_msgpack.c",748,758,1
"ucl_msgpack_get_container","src/ucl_msgpack.c",685,745,3
"ucl_msgpack_get_parser_from_type","src/ucl_msgpack.c",668,682,1
"ucl_parser_get_current_stack_object","src/ucl_parser.c",3225,3247,2
"ucl_parser_chunk_skip","src/ucl_parser.c",3211,3222,1
"ucl_parser_chunk_peek","src/ucl_parser.c",3201,3209,1
"ucl_set_include_path","src/ucl_parser.c",3180,3199,2
"ucl_parser_add_string","src/ucl_parser.c",3169,3178,3
"ucl_parser_add_string_priority","src/ucl_parser.c",3154,3167,4
"ucl_parser_insert_chunk","src/ucl_parser.c",3120,3152,3
"ucl_parser_add_chunk","src/ucl_parser.c",3109,3118,3
"ucl_parser_add_chunk_priority","src/ucl_parser.c",3097,3107,4
"ucl_parser_add_chunk_full","src/ucl_parser.c",2974,3095,6
"ucl_parser_set_variables_handler","src/ucl_parser.c",2967,2972,3
"ucl_parser_register_variable","src/ucl_parser.c",2913,2965,3
"ucl_parser_register_context_macro","src/ucl_parser.c",2886,2911,4
"ucl_parser_register_macro","src/ucl_parser.c",2860,2884,4
"ucl_parser_get_default_priority","src/ucl_parser.c",2851,2858,1
"ucl_parser_set_default_priority","src/ucl_parser.c",2840,2849,2
"ucl_parser_new","src/ucl_parser.c",2804,2838,1
"ucl_state_machine","src/ucl_parser.c",2446,2795,1
"ucl_parse_macro_arguments","src/ucl_parser.c",2331,2422,2
"ucl_parse_macro_value","src/ucl_parser.c",2254,2322,5
"ucl_skip_macro_as_comment","src/ucl_parser.c",2141,2242,2
"ucl_parse_after_value","src/ucl_parser.c",2030,2138,2
"ucl_parse_value","src/ucl_parser.c",1752,2021,2
"ucl_parser_get_container","src/ucl_parser.c",1716,1743,1
"ucl_parse_multiline_string","src/ucl_parser.c",1667,1713,6
"ucl_parse_string_value","src/ucl_parser.c",1596,1654,4
"ucl_parse_key","src/ucl_parser.c",1376,1585,5
"ucl_parser_append_elt","src/ucl_parser.c",1212,1240,4
"ucl_lex_squoted_string","src/ucl_parser.c",1173,1209,3
"ucl_lex_json_string","src/ucl_parser.c",1088,1163,5
"ucl_lex_number","src/ucl_parser.c",1055,1076,3
"ucl_parser_add_container","src/ucl_parser.c",663,745,5
"ucl_copy_or_store_ptr","src/ucl_parser.c",596,653,9
"ucl_expand_variable","src/ucl_parser.c",530,580,4
"ucl_expand_single_variable","src/ucl_parser.c",435,519,5
"ucl_check_variable","src/ucl_parser.c",375,423,5
"ucl_check_variable_safe","src/ucl_parser.c",317,363,6
"ucl_lex_is_comment","src/ucl_parser.c",293,304,2
"ucl_lex_is_atom_end","src/ucl_parser.c",287,290,1
"ucl_lex_time_multiplier","src/ucl_parser.c",259,279,1
"ucl_lex_num_multiplier","src/ucl_parser.c",228,250,2
"ucl_skip_comments","src/ucl_parser.c",138,219,1
"ucl_attach_comment","src/ucl_parser.c",118,130,3
"ucl_save_comment","src/ucl_parser.c",100,115,3
"ucl_set_err","src/ucl_parser.c",65,97,4
"ucl_object_validate_root_ext","src/ucl_schema.c",1082,1102,5
"ucl_object_validate_root","src/ucl_schema.c",1074,1080,4
"ucl_object_validate","src/ucl_schema.c",1068,1072,3
"ucl_schema_validate","src/ucl_schema.c",929,1066,6
"ucl_schema_validate_values","src/ucl_schema.c",883,926,3
"ucl_schema_resolve_ref","src/ucl_schema.c",741,880,5
"ucl_schema_resolve_ref_component","src/ucl_schema.c",688,736,4
"ucl_schema_validate_enum","src/ucl_schema.c",661,681,3
"ucl_schema_type_is_allowed","src/ucl_schema.c",605,655,3
"ucl_schema_validate_array","src/ucl_schema.c",486,599,5
"ucl_schema_array_is_unique","src/ucl_schema.c",448,483,2
"ucl_schema_elt_compare","src/ucl_schema.c",440,445,2
"TREE_REVERSE_APPLY_ALL_ucl_compare_node_link","src/ucl_schema.c",437,437,3
"TREE_FORWARD_APPLY_ALL_ucl_compare_node_link","src/ucl_schema.c",437,437,3
"TREE_REMOVE_ucl_compare_node_link","src/ucl_schema.c",437,437,3
"TREE_MOVE_RIGHT","src/ucl_schema.c",437,437,2
"TREE_FIND_ucl_compare_node_link","src/ucl_schema.c",437,437,3
"TREE_INSERT_ucl_compare_node_link","src/ucl_schema.c",437,437,3
"TREE_BALANCE_ucl_compare_node_link","src/ucl_schema.c",437,437,1
"TREE_ROTR_ucl_compare_node_link","src/ucl_schema.c",437,437,1
"TREE_ROTL_ucl_compare_node_link","src/ucl_schema.c",437,437,1
"ucl_schema_validate_string","src/ucl_schema.c",370,426,3
"ucl_schema_validate_number","src/ucl_schema.c",304,367,3
"ucl_schema_validate_object","src/ucl_schema.c",151,301,5
"ucl_schema_validate_dependencies","src/ucl_schema.c",113,145,5
"ucl_schema_test_pattern","src/ucl_schema.c",82,107,3
"ucl_schema_create_error","src/ucl_schema.c",63,76,4
"ucl_strdup_impl","include/ucl.h",80,86,1
"ucl_object_free","src/ucl_util.c",292,295,1
"ucl_object_ref","src/ucl_util.c",3591,3614,1
"ucl_object_unref","src/ucl_util.c",3697,3709,1
"ucl_object_toboolean_safe","src/ucl_util.c",3483,3497,2
"ucl_object_toboolean","src/ucl_util.c",3499,3505,1
"ucl_object_toint_safe","src/ucl_util.c",3454,3472,2
"ucl_object_toint","src/ucl_util.c",3475,3481,1
"ucl_object_tolstring_safe","src/ucl_util.c",3546,3563,3
"ucl_object_tolstring","src/ucl_util.c",3566,3572,2
"ucl_object_tostring_safe","src/ucl_util.c",3507,3524,2
"ucl_object_tostring","src/ucl_util.c",3527,3533,1
"ucl_object_todouble","src/ucl_util.c",3446,3452,1
"ucl_object_todouble_safe","src/ucl_util.c",3425,3443,2
"ucl_object_lookup_path_char","src/ucl_util.c",2926,2976,3
"ucl_object_lookup_path","src/ucl_util.c",2919,2922,2
"ucl_object_lookup_len","src/ucl_util.c",2656,2670,3
"ucl_object_lookup_any","src/ucl_util.c",2683,2714,2
"ucl_object_lookup","src/ucl_util.c",2673,2680,2
"ucl_parser_set_include_tracer","src/ucl_util.c",3970,3976,3
"ucl_parser_add_special_handler","src/ucl_util.c",749,753,2
"ucl_parser_get_cur_file","src/ucl_util.c",3979,3982,1
"ucl_parser_set_filevars","src/ucl_util.c",1977,2010,3
"ucl_comments_add","src/ucl_util.c",3961,3968,3
"ucl_comments_move","src/ucl_util.c",3936,3959,3
"ucl_comments_find","src/ucl_util.c",3925,3934,2
"ucl_parser_get_comments","src/ucl_util.c",3915,3922,1
"ucl_parser_free","src/ucl_util.c",599,662,1
"ucl_parser_clear_error","src/ucl_util.c",707,714,1
"ucl_parser_get_linenum","src/ucl_util.c",698,705,1
"ucl_parser_get_column","src/ucl_util.c",688,695,1
"ucl_parser_get_error_code","src/ucl_util.c",678,685,1
"ucl_parser_get_error","src/ucl_util.c",665,676,1
"ucl_parser_get_object","src/ucl_util.c",590,597,1
"ucl_parser_add_fd_full","src/ucl_util.c",2066,2102,5
"ucl_parser_add_fd_priority","src/ucl_util.c",2104,2113,3
"ucl_parser_add_fd","src/ucl_util.c",2115,2122,2
"ucl_parser_add_file_full","src/ucl_util.c",2012,2041,5
"ucl_parser_add_file_priority","src/ucl_util.c",2043,2052,3
"ucl_parser_add_file","src/ucl_util.c",2054,2063,2
"ucl_object_iterate_free","src/ucl_util.c",2903,2916,1
"ucl_object_iterate_full","src/ucl_util.c",2845,2901,2
"ucl_object_iterate_safe","src/ucl_util.c",2839,2842,2
"ucl_object_iterate_reset","src/ucl_util.c",2819,2836,2
"ucl_object_iter_chk_excpn","src/ucl_util.c",2809,2816,1
"ucl_object_iterate_new","src/ucl_util.c",2794,2807,1
"ucl_object_iterate_with_error","src/ucl_util.c",2717,2768,4
"ucl_object_set_priority","src/ucl_util.c",3832,3843,2
"ucl_object_get_priority","src/ucl_util.c",3823,3830,1
"ucl_object_sort_keys","src/ucl_util.c",3812,3818,2
"ucl_object_array_sort","src/ucl_util.c",3799,3810,2
"ucl_object_compare_qsort","src/ucl_util.c",3793,3797,2
"ucl_object_compare","src/ucl_util.c",3711,3791,2
"ucl_object_keyl","src/ucl_util.c",3581,3588,2
"ucl_object_key","src/ucl_util.c",3575,3578,1
"ucl_object_tostring_forced","src/ucl_util.c",3536,3544,1
"ucl_elt_append","src/ucl_util.c",3397,3423,2
"ucl_array_replace_index","src/ucl_util.c",3378,3394,3
"ucl_array_index_of","src/ucl_util.c",3355,3375,2
"ucl_array_find_index","src/ucl_util.c",3339,3352,2
"ucl_array_size","src/ucl_util.c",3323,3336,1
"ucl_array_pop_first","src/ucl_util.c",3303,3320,1
"ucl_array_pop_last","src/ucl_util.c",3283,3300,1
"ucl_array_tail","src/ucl_util.c",3271,3280,1
"ucl_array_head","src/ucl_util.c",3258,3268,1
"ucl_array_delete","src/ucl_util.c",3231,3255,2
"ucl_array_merge","src/ucl_util.c",3193,3228,3
"ucl_array_prepend","src/ucl_util.c",3163,3191,2
"ucl_array_append","src/ucl_util.c",3131,3161,2
"ucl_object_reserve","src/ucl_util.c",3026,3042,2
"ucl_object_insert_key_merged","src/ucl_util.c",2539,2543,5
"ucl_object_pop_key","src/ucl_util.c",2528,2531,2
"ucl_object_pop_keyl","src/ucl_util.c",2509,2525,3
"ucl_object_delete_key","src/ucl_util.c",2503,2506,2
"ucl_object_delete_keyl","src/ucl_util.c",2482,2501,3
"ucl_object_merge","src/ucl_util.c",2551,2653,3
"ucl_object_replace_key","src/ucl_util.c",2545,2549,5
"ucl_object_insert_key","src/ucl_util.c",2533,2537,5
"ucl_object_frombool","src/ucl_util.c",3118,3129,1
"ucl_object_fromdouble","src/ucl_util.c",3104,3115,1
"ucl_object_fromint","src/ucl_util.c",3090,3101,1
"ucl_object_fromlstring","src/ucl_util.c",3084,3087,2
"ucl_object_fromstring","src/ucl_util.c",3078,3081,1
"ucl_object_fromstring_common","src/ucl_util.c",2225,2371,3
"ucl_object_string_to_type","src/ucl_util.c",3845,3876,2
"ucl_object_type_to_string","src/ucl_util.c",3879,3912,1
"ucl_object_type","src/ucl_util.c",3068,3075,1
"ucl_object_copy","src/ucl_util.c",3692,3695,1
"ucl_object_new_userdata","src/ucl_util.c",3045,3065,3
"ucl_object_new_full","src/ucl_util.c",2992,3024,2
"ucl_object_typed_new","src/ucl_util.c",2986,2989,1
"ucl_object_new","src/ucl_util.c",2980,2983,0
"ucl_copy_value_trash","src/ucl_util.c",546,587,1
"ucl_copy_key_trash","src/ucl_util.c",494,513,1
"utstring_findR","uthash/utstring.h",369,407,4
"utstring_find","uthash/utstring.h",323,365,4
"_utstring_findR","uthash/utstring.h",289,319,5
"_utstring_find","uthash/utstring.h",256,285,5
"_utstring_BuildTableR","uthash/utstring.h",216,252,3
"_utstring_BuildTable","uthash/utstring.h",176,212,3
"utstring_printf","uthash/utstring.h",150,155,2
"utstring_printf_va","uthash/utstring.h",123,144,3
"mum_hash","src/mum.h",423,438,3
"mum_hash64","src/mum.h",415,418,2
"mum_hash_finish","src/mum.h",407,410,1
"mum_hash_step","src/mum.h",400,403,2
"mum_hash_init","src/mum.h",393,396,1
"mum_hash_randomize","src/mum.h",375,389,1
"_mum_next_factor","src/mum.h",361,369,0
"_mum_hash_default","src/mum.h",338,358,3
"_mum_hash_avx2","src/mum.h",309,312,3
"_mum_final","src/mum.h",295,300,1
"_mum_hash_aligned","src/mum.h",232,291,3
"_mum_le32","src/mum.h",194,203,1
"_mum_le","src/mum.h",182,191,1
"_mum","src/mum.h",120,163,2
"ucl_test_character","src/ucl_chartable.h",262,265,2
"ucl_object_copy_internal","src/ucl_util.c",3617,3689,2
"ucl_object_insert_key_common","src/ucl_util.c",2374,2480,7
"ucl_include_common","src/ucl_util.c",1519,1653,6
"ucl_include_file","src/ucl_util.c",1430,1506,5
"ucl_include_file_single","src/ucl_util.c",1085,1419,4
"ucl_include_url","src/ucl_util.c",1008,1071,4
"ucl_pubkey_add","src/ucl_util.c",716,747,3
"ucl_object_free_internal","src/ucl_util.c",250,290,3
"ucl_object_dtor_unref","src/ucl_util.c",238,247,1
"ucl_object_dtor_unref_single","src/ucl_util.c",223,235,1
"ucl_object_dtor_free","src/ucl_util.c",194,215,1
"ud_emit","tests/test_generate.c",36,39,1
"ud_dtor","tests/test_generate.c",30,33,1
"ucl_test_null","tests/test_msgpack.c",465,468,0
"ucl_test_large_string","tests/test_msgpack.c",448,462,0
"ucl_test_large_array","tests/test_msgpack.c",426,445,0
"ucl_test_array","tests/test_msgpack.c",391,423,0
"ucl_test_large_map","tests/test_msgpack.c",365,388,0
"ucl_test_map","tests/test_msgpack.c",319,362,0
"ucl_test_boolean","tests/test_msgpack.c",303,316,0
"ucl_test_string","tests/test_msgpack.c",250,300,0
"ucl_test_integer","tests/test_msgpack.c",204,247,0
"random_key","tests/test_msgpack.c",81,99,1
"pcg32_random","tests/test_msgpack.c",70,78,0
"perform_tests","tests/test_schema.c",100,131,1
"perform_test","tests/test_schema.c",70,97,3
"read_stdin","tests/test_schema.c",35,67,1
"get_ticks","tests/test_speed.c",52,66,0
