"callee_name","callee_file","caller_name","caller_file","caller_start_line","caller_end_line"
"open","lib/yaml/serializer.py","display","tests/legacy_tests/test_appliance.py",81,81
"open","lib/yaml/serializer.py","test_canonical_scanner","tests/legacy_tests/test_canonical.py",4,4
"open","lib/yaml/serializer.py","test_canonical_parser","tests/legacy_tests/test_canonical.py",15,15
"open","lib/yaml/serializer.py","test_canonical_error","tests/legacy_tests/test_canonical.py",26,26
"open","lib/yaml/serializer.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"open","lib/yaml/serializer.py","test_subclass_blacklist_types","tests/legacy_tests/test_constructor.py",286,286
"open","lib/yaml/serializer.py","test_constructor","tests/legacy_tests/test_structure.py",176,176
"open","lib/yaml/serializer.py","test_emitter_on_data","tests/legacy_tests/test_emitter.py",17,17
"open","lib/yaml/serializer.py","test_emitter_on_canonical","tests/legacy_tests/test_emitter.py",29,29
"open","lib/yaml/serializer.py","test_emitter_styles","tests/legacy_tests/test_emitter.py",42,42
"open","lib/yaml/serializer.py","test_emitter_events","tests/legacy_tests/test_emitter.py",91,91
"open","lib/yaml/serializer.py","test_loader_error","tests/legacy_tests/test_errors.py",4,4
"open","lib/yaml/serializer.py","test_loader_error_string","tests/legacy_tests/test_errors.py",16,16
"open","lib/yaml/serializer.py","test_loader_error_single","tests/legacy_tests/test_errors.py",28,28
"open","lib/yaml/serializer.py","test_emitter_error","tests/legacy_tests/test_errors.py",40,40
"open","lib/yaml/serializer.py","test_dumper_error","tests/legacy_tests/test_errors.py",53,53
"open","lib/yaml/serializer.py","test_unicode_input","tests/legacy_tests/test_input_output.py",5,5
"open","lib/yaml/serializer.py","test_unicode_input_errors","tests/legacy_tests/test_input_output.py",26,26
"open","lib/yaml/serializer.py","test_unicode_output","tests/legacy_tests/test_input_output.py",51,51
"open","lib/yaml/serializer.py","test_file_output","tests/legacy_tests/test_input_output.py",87,87
"open","lib/yaml/serializer.py","test_unicode_transfer","tests/legacy_tests/test_input_output.py",116,116
"open","lib/yaml/serializer.py","test_marks","tests/legacy_tests/test_mark.py",4,4
"open","lib/yaml/serializer.py","test_multi_constructor","tests/legacy_tests/test_multi_constructor.py",31,31
"open","lib/yaml/serializer.py","test_stream_error","tests/legacy_tests/test_reader.py",15,15
"open","lib/yaml/serializer.py","test_recursive","tests/legacy_tests/test_recursive.py",25,25
"open","lib/yaml/serializer.py","test_representer_types","tests/legacy_tests/test_representer.py",6,6
"open","lib/yaml/serializer.py","test_implicit_resolver","tests/legacy_tests/test_schema.py",53,53
"open","lib/yaml/serializer.py","test_implicit_resolver","tests/legacy_tests/test_resolver.py",5,5
"open","lib/yaml/serializer.py","test_path_resolver_loader","tests/legacy_tests/test_resolver.py",61,61
"open","lib/yaml/serializer.py","test_path_resolver_dumper","tests/legacy_tests/test_resolver.py",78,78
"open","lib/yaml/serializer.py","test_sort_keys","tests/legacy_tests/test_sort_keys.py",5,5
"open","lib/yaml/serializer.py","test_structure","tests/legacy_tests/test_structure.py",35,35
"open","lib/yaml/serializer.py","test_parser","tests/legacy_tests/test_structure.py",74,74
"open","lib/yaml/serializer.py","test_parser_on_canonical","tests/legacy_tests/test_structure.py",92,92
"open","lib/yaml/serializer.py","test_composer","tests/legacy_tests/test_structure.py",124,124
"open","lib/yaml/serializer.py","test_tokens","tests/legacy_tests/test_tokens.py",45,45
"open","lib/yaml/serializer.py","test_scanner","tests/legacy_tests/test_tokens.py",64,64
"open","lib/yaml/serializer.py","test_c_scanner","tests/legacy_tests/test_yaml_ext.py",155,155
"open","lib/yaml/serializer.py","test_c_parser","tests/legacy_tests/test_yaml_ext.py",188,188
"open","lib/yaml/serializer.py","test_c_emitter","tests/legacy_tests/test_yaml_ext.py",233,233
"load","lib/yaml/__init__.py","full_load","lib/yaml/__init__.py",97,97
"load","lib/yaml/__init__.py","safe_load","lib/yaml/__init__.py",117,117
"load","lib/yaml/__init__.py","unsafe_load","lib/yaml/__init__.py",137,137
"load_all","lib/yaml/__init__.py","full_load_all","lib/yaml/__init__.py",107,107
"load_all","lib/yaml/__init__.py","safe_load_all","lib/yaml/__init__.py",127,127
"load_all","lib/yaml/__init__.py","unsafe_load_all","lib/yaml/__init__.py",147,147
"serialize_all","lib/yaml/__init__.py","serialize","lib/yaml/__init__.py",208,208
"dump_all","lib/yaml/__init__.py","dump","lib/yaml/__init__.py",248,248
"dump_all","lib/yaml/__init__.py","safe_dump_all","lib/yaml/__init__.py",255,255
"dump_all","lib/yaml/__init__.py","safe_dump","lib/yaml/__init__.py",263,263
"find_test_filenames","tests/legacy_tests/test_appliance.py","run","tests/legacy_tests/test_appliance.py",121,121
"_filter_omit_entries",".github/actions/dynamatrix/matrix_yaml_to_json.py","genexpr",".github/actions/dynamatrix/matrix_yaml_to_json.py",23,23
"_filter_omit_entries",".github/actions/dynamatrix/matrix_yaml_to_json.py","genexpr",".github/actions/dynamatrix/matrix_yaml_to_json.py",29,29
"_filter_omit_entries",".github/actions/dynamatrix/matrix_yaml_to_json.py","main",".github/actions/dynamatrix/matrix_yaml_to_json.py",33,33
"find_test_functions","tests/legacy_tests/test_appliance.py","run","tests/legacy_tests/test_appliance.py",121,121
"parse_arguments","tests/legacy_tests/test_appliance.py","run","tests/legacy_tests/test_appliance.py",121,121
"execute","tests/legacy_tests/test_constructor.py","run","tests/legacy_tests/test_appliance.py",121,121
"execute","tests/legacy_tests/test_appliance.py","run","tests/legacy_tests/test_appliance.py",121,121
"display","tests/legacy_tests/test_appliance.py","run","tests/legacy_tests/test_appliance.py",121,121
"_make_objects","tests/legacy_tests/test_constructor.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"_make_objects","tests/legacy_tests/test_constructor.py","test_subclass_blacklist_types","tests/legacy_tests/test_constructor.py",286,286
"_load_code","tests/legacy_tests/test_constructor.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"_load_code","tests/legacy_tests/test_constructor.py","test_multi_constructor","tests/legacy_tests/test_multi_constructor.py",31,31
"_load_code","tests/legacy_tests/test_multi_constructor.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"_load_code","tests/legacy_tests/test_multi_constructor.py","test_multi_constructor","tests/legacy_tests/test_multi_constructor.py",31,31
"_serialize_value","tests/legacy_tests/test_constructor.py","_serialize_value","tests/legacy_tests/test_constructor.py",237,237
"_serialize_value","tests/legacy_tests/test_constructor.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_on_data","tests/legacy_tests/test_emitter.py",17,17
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_on_canonical","tests/legacy_tests/test_emitter.py",29,29
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_styles","tests/legacy_tests/test_emitter.py",42,42
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_events","tests/legacy_tests/test_emitter.py",91,91
"_compare_events","tests/legacy_tests/test_structure.py","test_parser","tests/legacy_tests/test_structure.py",74,74
"_compare_events","tests/legacy_tests/test_structure.py","test_parser_on_canonical","tests/legacy_tests/test_structure.py",92,92
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_on_data","tests/legacy_tests/test_emitter.py",17,17
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_on_canonical","tests/legacy_tests/test_emitter.py",29,29
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_styles","tests/legacy_tests/test_emitter.py",42,42
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_events","tests/legacy_tests/test_emitter.py",91,91
"_compare_events","tests/legacy_tests/test_emitter.py","test_parser","tests/legacy_tests/test_structure.py",74,74
"_compare_events","tests/legacy_tests/test_emitter.py","test_parser_on_canonical","tests/legacy_tests/test_structure.py",92,92
"_run_reader","tests/legacy_tests/test_reader.py","test_stream_error","tests/legacy_tests/test_reader.py",15,15
"_make_path_loader_and_dumper","tests/legacy_tests/test_resolver.py","test_path_resolver_loader","tests/legacy_tests/test_resolver.py",61,61
"_make_path_loader_and_dumper","tests/legacy_tests/test_resolver.py","test_path_resolver_dumper","tests/legacy_tests/test_resolver.py",78,78
"_convert_node","tests/legacy_tests/test_resolver.py","_convert_node","tests/legacy_tests/test_resolver.py",47,47
"_convert_node","tests/legacy_tests/test_resolver.py","test_path_resolver_loader","tests/legacy_tests/test_resolver.py",61,61
"_convert_node","tests/legacy_tests/test_resolver.py","test_path_resolver_dumper","tests/legacy_tests/test_resolver.py",78,78
"_fail","tests/legacy_tests/test_schema.py","test_implicit_resolver","tests/legacy_tests/test_schema.py",53,53
"_convert_structure","tests/legacy_tests/test_structure.py","_convert_structure","tests/legacy_tests/test_structure.py",5,5
"_convert_structure","tests/legacy_tests/test_structure.py","test_structure","tests/legacy_tests/test_structure.py",35,35
"_compare_nodes","tests/legacy_tests/test_structure.py","_compare_nodes","tests/legacy_tests/test_structure.py",110,110
"_compare_nodes","tests/legacy_tests/test_structure.py","test_composer","tests/legacy_tests/test_structure.py",124,124
"_make_loader","tests/legacy_tests/test_structure.py","test_constructor","tests/legacy_tests/test_structure.py",176,176
"_make_canonical_loader","tests/legacy_tests/test_structure.py","test_constructor","tests/legacy_tests/test_structure.py",176,176
"_set_up","tests/legacy_tests/test_yaml_ext.py","wrapper","tests/legacy_tests/test_yaml_ext.py",259,259
"_tear_down","tests/legacy_tests/test_yaml_ext.py","wrapper","tests/legacy_tests/test_yaml_ext.py",259,259
"_compare_scanners","tests/legacy_tests/test_yaml_ext.py","test_c_scanner","tests/legacy_tests/test_yaml_ext.py",155,155
"_compare_parsers","tests/legacy_tests/test_yaml_ext.py","test_c_parser","tests/legacy_tests/test_yaml_ext.py",188,188
"_compare_emitters","tests/legacy_tests/test_yaml_ext.py","test_c_emitter","tests/legacy_tests/test_yaml_ext.py",233,233
"wrap_ext_function","tests/legacy_tests/test_yaml_ext.py","wrap_ext","tests/legacy_tests/test_yaml_ext.py",270,270
